day,year,anomaly_channel,qfi_degradation_channel,fluence_channel,qpms_scalar
0.0,0.0,0.9869494637669688,0.0,0.0,0.444127258695136
4.577067669172933,0.012531328320802006,0.8657734366771669,0.0017599961111482987,0.0017901897601145722,0.39057208309564995
9.154135338345865,0.025062656641604012,0.7529554720257231,0.003516894635985479,0.0035803795202291443,0.3407769514382162
13.731203007518797,0.03759398496240601,0.6717402701161523,0.005270701026251157,0.0053705692803437165,0.3052019807675252
18.30827067669173,0.050125313283208024,0.5960933285699127,0.007021420724090288,0.007160759040458289,0.27213164691798397
22.885338345864664,0.06265664160401004,0.5243009861494381,0.008769059162069492,0.008950948800572863,0.24079480423408606
27.462406015037594,0.07518796992481203,0.487072145627811,0.010513621763194148,0.010741138560687433,0.22501046086177037
32.03947368421053,0.08771929824561404,0.4334608425677476,0.012255113940925155,0.012531328320802008,0.20185293469897062
36.61654135338346,0.10025062656641605,0.379180125800736,0.013993541099195816,0.014321518080916577,0.17839309961123306
41.193609022556394,0.11278195488721805,0.34459857406992267,0.015728908632428373,0.01611170784103115,0.16379681792102135
45.77067669172933,0.12531328320802007,0.3385033116617423,0.017461221925551107,0.017901897601145727,0.16201829744195606
50.34774436090226,0.13784461152882208,0.2901100172249384,0.019190486354014546,0.019692087361260296,0.14120459544737946
54.92481203007519,0.15037593984962405,0.26361266643636605,0.02091670728380879,0.021482277121374866,0.13024300286997278
59.50187969924812,0.16290726817042606,0.2370746890280335,0.022639890071479596,0.02327246688148944,0.11926206496393083
64.07894736842105,0.1754385964912281,0.21865812727233064,0.024360040064145383,0.025062656641604016,0.11193470262332048
68.65601503759399,0.1879699248120301,0.1972645611153233,0.026077162599513426,0.02685284640171858,0.1032666286920689
73.23308270676692,0.2005012531328321,0.17869647977162204,0.027791263005896738,0.028643036161833155,0.09586896518166041
77.81015037593986,0.2130325814536341,0.15276673271425192,0.029502346602230833,0.03043322592194773,0.08515749621658371
82.38721804511279,0.2255639097744361,0.15149555132373474,0.031210418698089493,0.0322234156820623,0.08554132777642441
