stage,years,rep,freq_hz,S_phi_Phi0^2_per_Hz,sqrt_S_phi_Phi0_per_sqrtHz
fresh,0.0,0,0.01,0.0019382135817149393,0.04402514715154214
fresh,0.0,0,0.01055672994233329,0.0032971061314541823,0.05742043304829895
fresh,0.0,0,0.01114445470753563,0.0027592680490359026,0.05252873546008796
fresh,0.0,0,0.011764899870201859,0.0021794107724337998,0.04668415975932093
fresh,0.0,0,0.012419887072831308,0.0020113425505634878,0.044847993829863646
fresh,0.0,0,0.013111339374215644,0.0022808612887250277,0.047758363547393747
fresh,0.0,0,0.013841286895587572,0.0013476716021564876,0.03671064698635108
fresh,0.0,0,0.014611872781107479,0.0012474799324852614,0.035319681942017275
fresh,0.0,0,0.015425359490188214,0.0013020078470326875,0.0360833458403276
fresh,0.0,0,0.01628413544013249,0.001462277886122105,0.038239742233991396
fresh,0.0,0,0.017190722018585746,0.0015537502059022783,0.03941763825880843
fresh,0.0,0,0.018147780986393233,0.0012989906564370283,0.03604151295987765
fresh,0.0,0,0.019158122292596422,0.0014508856656251063,0.038090493113441135
fresh,0.0,0,0.020224712324513568,0.0013874061403865768,0.037247901154113056
fresh,0.0,0,0.021350682617126953,0.0011937659410495643,0.03455091809271592
fresh,0.0,0,0.022539339047347912,0.0012105437861239677,0.03479286975982245
fresh,0.0,0,0.023794171540153963,0.001085684173783466,0.03294972190752854
fresh,0.0,0,0.025118864315095794,0.000903697119776862,0.030061555511597567
fresh,0.0,0,0.026517306703257915,0.0007957674766143493,0.028209350871906805
fresh,0.0,0,0.02799360456643181,0.0007844073872188753,0.02800727382696994
fresh,0.0,0,0.029552092352028877,0.0009070290268481058,0.03011692259923158
fresh,0.0,0,0.031197345819126192,0.0007212477922198197,0.026856056900070414
fresh,0.0,0,0.032934195473009575,0.0007585654544343932,0.02754206699640376
fresh,0.0,0,0.034767740747657774,0.0006574252031702368,0.025640304272185166
fresh,0.0,0,0.036703364977808024,0.0007320898219100693,0.02705715842268122
fresh,0.0,0,0.03874675120456132,0.0006936903612471904,0.026338002225817933
fresh,0.0,0,0.040903898860933104,0.0006375730898941026,0.025250209700002545
fresh,0.0,0,0.04318114138633851,0.0006248457712046002,0.02499691523377635
fresh,0.0,0,0.045585164821728696,0.0006584045909074013,0.025659395762710417
fresh,0.0,0,0.04812302743997418,0.0005585128047759242,0.023632875507985148
fresh,0.0,0,0.0508021804691302,0.0004991227556231418,0.022341055382929915
fresh,0.0,0,0.05363048996942866,0.0005570123252304877,0.02360110855935559
fresh,0.0,0,0.056616259928227275,0.0004222681419208395,0.020549164019999438
fresh,0.0,0,0.05976825664072413,0.00050876877344217,0.022555903294751243
fresh,0.0,0,0.06309573444801933,0.00039735956696249476,0.019933879877296713
fresh,0.0,0,0.06660846290809157,0.00044034509432611395,0.02098440121438098
fresh,0.0,0,0.07031675547946471,0.0003065577203364331,0.01750878980216603
fresh,0.0,0,0.07423149980177936,0.0003479108126489269,0.01865236748107132
fresh,0.0,0,0.07836418966217519,0.0003132042132175208,0.017697576478645907
fresh,0.0,0,0.08272695874133698,0.00029093516486646345,0.017056821651950972
fresh,0.0,0,0.08733261623828432,0.00032707103057193535,0.018085105213184006
fresh,0.0,0,0.09219468447849992,0.00019069925955138232,0.013809390267183499
fresh,0.0,0,0.09732743861581504,0.0002622321166971409,0.01619358257758736
fresh,0.0,0,0.10274594854461801,0.00025481266249362245,0.015962852580088012
fresh,0.0,0,0.10846612314544045,0.00020910715067512796,0.01446053770352707
fresh,0.0,0,0.11450475699382819,0.0002490317734558014,0.0157807405864174
fresh,0.0,0,0.12087957966963432,0.00019297688169032365,0.013891611918360074
fresh,0.0,0,0.1276093078115092,0.0001929916022430854,0.013892141744277064
fresh,0.0,0,0.13471370006941846,0.00021352843029960462,0.014612612028641718
fresh,0.0,0,0.1422136151165336,0.00018630091870218914,0.013649209453378212
fresh,0.0,0,0.15013107289081734,0.00014684950910157636,0.012118147923737206
fresh,0.0,0,0.15848931924611134,0.0001600116457688638,0.012649570971731168
fresh,0.0,0,0.16731289420254442,0.00015776010255840424,0.012560258857141609
fresh,0.0,0,0.1766277039966443,0.00014138788156855308,0.011890663630283765
fresh,0.0,0,0.18646109714269563,0.00012850686715900884,0.011336086942107
fresh,0.0,0,0.19684194472866123,0.00013208918934142232,0.01149300610551575
fresh,0.0,0,0.20780072518241727,0.00010235500029715955,0.010117064806412952
fresh,0.0,0,0.2193696137571796,0.0001054067483032474,0.0102667788669693
fresh,0.0,0,0.2315825769988508,0.0001100840449967959,0.010492094404683744
fresh,0.0,0,0.2444754724726473,9.444278206188053e-05,0.009718167628821831
fresh,0.0,0,0.2580861540418074,9.578967503821605e-05,0.009787219985175365
fresh,0.0,0,0.27245458300747916,0.00011841321417069967,0.01088178359326722
fresh,0.0,0,0.2876229454360986,8.5364595616323e-05,0.00923929627278631
fresh,0.0,0,0.30363577601873587,7.961553168439724e-05,0.008922753593168268
fresh,0.0,0,0.32054008882605933,8.595229254840113e-05,0.00927104592526653
fresh,0.0,0,0.33838551534282335,6.188229199092562e-05,0.007866529856990668
fresh,0.0,0,0.3572244501871466,6.727631568306043e-05,0.008202214072008876
fresh,0.0,0,0.37711220494241976,7.026231040117457e-05,0.008382261651915584
fresh,0.0,0,0.3981071705534973,6.557790956456582e-05,0.008098018866646696
fresh,0.0,0,0.4202709887639691,5.516642880790895e-05,0.007427410639510175
fresh,0.0,0,0.44366873309786115,6.313231166383628e-05,0.007945584412982867
fresh,0.0,0,0.468369099917127,5.309505084264898e-05,0.007286635083675385
fresh,0.0,0,0.49444461011588275,5.616066442206423e-05,0.0074940419282296675
fresh,0.0,0,0.521971822043565,5.166366346083017e-05,0.007187743975743026
fresh,0.0,0,0.5510315562821569,4.629134943749536e-05,0.006803774646289761
fresh,0.0,0,0.5817091329374358,4.197664579767323e-05,0.00647893863203482
fresh,0.0,0,0.6140946221409365,4.905409130829546e-05,0.007003862599187356
fresh,0.0,0,0.6482831084981076,3.4494936203021396e-05,0.005873238987391999
fresh,0.0,0,0.6843749702590874,3.2419549885517216e-05,0.005693816811728071
fresh,0.0,0,0.7224761740317567,4.037817291332693e-05,0.006354382181874721
fresh,0.0,0,0.7626985859023444,3.7788172596334134e-05,0.00614720852064855
fresh,0.0,0,0.8051602998770538,3.109961226331076e-05,0.005576702633573962
fresh,0.0,0,0.849985984609015,2.976363399125539e-05,0.005455605740085641
fresh,0.0,0,0.8973072494285632,2.2868866719331954e-05,0.00478214039101028
fresh,0.0,0,0.9472630307515245,2.752419683116744e-05,0.005246350810912995
fresh,0.0,0,1.0,2.526913034543485e-05,0.005026840990665494
fresh,0.0,0,1.0556729942333292,2.253589989911297e-05,0.004747199163624059
fresh,0.0,0,1.1144454707535625,2.4161764968555735e-05,0.004915461826579038
fresh,0.0,0,1.1764899870201853,2.0352584347769304e-05,0.004511383861717966
fresh,0.0,0,1.2419887072831308,2.2777691914154368e-05,0.004772598025620256
fresh,0.0,0,1.3111339374215643,2.166921187127788e-05,0.004655020072059613
fresh,0.0,0,1.3841286895587572,1.6694791892588324e-05,0.004085926075272083
fresh,0.0,0,1.4611872781107471,1.653740047176027e-05,0.0040666202763179485
fresh,0.0,0,1.5425359490188206,1.898567521445572e-05,0.004357255468119321
fresh,0.0,0,1.62841354401325,1.470946892206406e-05,0.003835292547129105
fresh,0.0,0,1.7190722018585747,1.3836788875385483e-05,0.0037197834446894193
fresh,0.0,0,1.8147780986393234,1.6880143600298466e-05,0.004108545192680551
fresh,0.0,0,1.9158122292596425,1.451021579218163e-05,0.003809227715978874
fresh,0.0,0,2.022471232451356,1.5495159011709666e-05,0.003936389082866386
fresh,0.0,0,2.1350682617126964,1.0463739632599516e-05,0.003234770414202454
fresh,0.0,0,2.253933904734791,1.185447128144743e-05,0.0034430322800472596
fresh,0.0,0,2.379417154015396,9.787406598025393e-06,0.0031284831145501476
fresh,0.0,0,2.5118864315095797,7.946337210762265e-06,0.002818924832407254
fresh,0.0,0,2.65173067032579,8.419087826634815e-06,0.0029015664436015964
fresh,0.0,0,2.7993604566431824,7.856585143917477e-06,0.002802960068198881
fresh,0.0,0,2.955209235202888,8.414587320487894e-06,0.0029007908095014185
fresh,0.0,0,3.119734581912619,7.022440074920015e-06,0.002649988693357014
fresh,0.0,0,3.2934195473009575,8.567195883624545e-06,0.002926977260523994
fresh,0.0,0,3.4767740747657774,7.371462926688816e-06,0.00271504381671619
fresh,0.0,0,3.6703364977808004,7.3319880273762e-06,0.0027077643965781437
fresh,0.0,0,3.874675120456132,6.319360551688925e-06,0.0025138338353377543
fresh,0.0,0,4.09038988609331,5.617950610912136e-06,0.0023702216375082177
fresh,0.0,0,4.318114138633851,5.866796432572329e-06,0.00242214707079738
fresh,0.0,0,4.55851648217287,5.084179868160436e-06,0.002254812601561477
fresh,0.0,0,4.8123027439974155,5.928436746398501e-06,0.0024348381355643544
fresh,0.0,0,5.080218046913022,2.990729522330596e-06,0.0017293725805420288
fresh,0.0,0,5.363048996942866,3.8336484054728224e-06,0.0019579704812567587
fresh,0.0,0,5.661625992822727,5.308955417663827e-06,0.0023041170581513054
fresh,0.0,0,5.976825664072413,5.516991069081712e-06,0.002348827594584522
fresh,0.0,0,6.30957344480193,3.928342171171075e-06,0.0019820045840439108
fresh,0.0,0,6.660846290809154,4.363060303682779e-06,0.002088793983063619
fresh,0.0,0,7.03167554794647,3.7824795364768225e-06,0.0019448597729596914
fresh,0.0,0,7.423149980177936,4.074440641846012e-06,0.0020185243723685907
fresh,0.0,0,7.836418966217519,3.5103464752020595e-06,0.0018735918646284894
fresh,0.0,0,8.272695874133698,3.0456777300295655e-06,0.0017451870186399982
fresh,0.0,0,8.733261623828428,2.6613595050031345e-06,0.0016313673727898124
