years,ddd_dpa,damage_fraction,Ic_uA,A_phi_Phi0^2_per_Hz,corner_freq_Hz,Gamma_deph_per_s,QFI_N64,entanglement_visibility_N64
0.0,0.0,0.0,10.0,2.5e-05,90013730.98308426,126000.0,4030.985502946448,0.9920319148370607
0.05025125628140704,3.4253475376884416e-08,0.007178750897343861,9.992841764762408,3.4108742534734253e-05,122810206.9877141,181628.1407035176,4002.611394989472,0.9885342925790949
0.10050251256281408,6.850695075376883e-08,0.014357501794687722,9.985724172517287,4.1253031823147e-05,148533572.35061473,237256.28140703516,3974.4370123854565,0.9850490019419939
0.15075376884422112,1.0276042613065327e-07,0.021536252692031587,9.978646650013557,4.7330951309923715e-05,170417420.7353973,292884.4221105528,3946.4609492675922,0.981575999447971
0.20100502512562815,1.3701390150753767e-07,0.028715003589375444,9.971608636043433,5.2712667065925995e-05,189794553.3069259,348512.5628140703,3918.681809664967,0.9781152417725306
0.2512562814070352,1.712673768844221e-07,0.03589375448671931,9.964609581107403,5.759367661908683e-05,207368868.54068926,404140.70351758803,3891.0982074329077,0.9746666857439263
0.30150753768844224,2.0552085226130654e-07,0.043072505384063174,9.957648947090807,6.20921726452275e-05,223565924.98570925,459768.8442211056,3863.708766183815,0.9712302883426235
0.35175879396984927,2.397743276381909e-07,0.050251256281407024,9.950726206951463,6.628607863726385e-05,238666290.01512945,515396.98492462316,3836.512119218481,0.9678060067007616
0.4020100502512563,2.7402780301507533e-07,0.05743000717875089,9.943840844417991,7.022998318671532e-05,252866512.54062092,571025.1256281406,3809.506909457895,0.9643937981016204
0.45226130653266333,3.0828127839195977e-07,0.06460875807609476,9.93699235369828,7.396388886278971e-05,266310623.7823158,626653.2663316582,3782.6917893755244,0.9609936199790865
0.5025125628140704,3.425347537688442e-07,0.07178750897343862,9.930180239197805,7.751814737858419e-05,279107906.5777182,682281.4070351761,3756.0654209300774,0.9576054299171226
0.5527638190954774,3.767882291457287e-07,0.0789662598707825,9.923404015247309,8.091643522986346e-05,291343609.3156436,737909.5477386937,3729.626475498735,0.9542291856492382
0.6030150753768845,4.110417045226131e-07,0.08614501076812635,9.916663205839537,8.417764434580881e-05,303085753.31733507,793537.6884422112,3703.373633810854,0.9508648450579624
0.6532663316582915,4.452951798994975e-07,0.09332376166547021,9.909957344374622,8.731713534530474e-05,314389645.2474327,849165.829145729,3677.305585882138,0.9475123661743188
0.7035175879396985,4.795486552763818e-07,0.10050251256281405,9.90328597341383,9.034759787737056e-05,325300974.8120603,904793.9698492464,3651.4210309492705,0.9441717071773011
0.7537688442211056,5.138021306532663e-07,0.10768126346015792,9.896648644441287,9.32796588732605e-05,335858004.80046153,960422.1105527637,3625.718677405008,0.9408428263933525
0.8040201005025126,5.480556060301507e-07,0.11486001435750177,9.890044917633395,9.612232350922773e-05,346093158.7931448,1016050.2512562814,3600.1972427337305,0.937525682295845
0.8542713567839196,5.823090814070352e-07,0.12203876525484565,9.883474361635695,9.88833018973043e-05,356034197.42812216,1071678.391959799,3574.855453447447,0.9342202335045618
0.9045226130653267,6.165625567839195e-07,0.12921751615218952,9.876936553346786,0.00010156925573919607,365705106.49040323,1127306.5326633165,3549.692045022247,0.9309264387851811
0.9547738693467337,6.508160321608039e-07,0.13639626704953337,9.87043107770913,0.000104185987679318,375126778.68692243,1182934.6733668342,3524.705761835205,0.9276442570487612
1.0050251256281408,6.850695075376884e-07,0.14357501794687724,9.86395752750643,0.00010673858883279185,384317544.82835865,1238562.8140703521,3499.8953571017264,0.9243736473512286
1.0552763819095479,7.193229829145729e-07,0.15075376884422112,9.857515503167358,0.00010923155525449861,393293593.1816937,1294190.9547738694,3475.2595928133323,0.9211145688928671
1.105527638190955,7.535764582914574e-07,0.157932519741565,9.851104612575364,0.00011166888098578483,402069304.4894595,1349819.0954773873,3450.797239675886,0.9178669810178083
1.155778894472362,7.878299336683417e-07,0.16511127063890882,9.844724470884392,0.00011405413319085883,410657522.5020331,1405447.2361809048,3426.507077048254,0.9146308432135251
1.206030150753769,8.220834090452262e-07,0.1722900215362527,9.838374700340223,0.00011639051342450102,419069774.5750437,1461075.3768844225,3402.3878928813933,0.9114061151103258
1.256281407035176,8.563368844221106e-07,0.17946877243359657,9.832054930107311,0.00011868090803713859,427316453.1553262,1516703.5175879402,3378.4384836578774,0.9081927564808511
1.306532663316583,8.90590359798995e-07,0.18664752333094042,9.82576479610084,0.00012092792998236815,435406966.3109654,1572331.658291458,3354.657654331838,0.9049907272395716
1.35678391959799,9.248438351758794e-07,0.19382627422828427,9.819503940823846,0.0001231339537541182,443349863.52426934,1627959.7989949752,3331.0442182693337,0.9017999874422884
1.407035175879397,9.590973105527636e-07,0.2010050251256281,9.81327201320926,0.0001253011447849624,451152941.54184383,1683587.9396984929,3307.596997189142,0.8986204972856341
1.4572864321608041,9.933507859296483e-07,0.208183776022972,9.807068668466608,0.00012743148434246106,458823334.0150961,1739216.0804020106,3284.3148211039597,0.8954522171065769
1.5075376884422111,1.0276042613065326e-06,0.21536252692031585,9.800893567933274,0.0001295267907385329,466367587.865622,1794844.2211055274,3261.196528262028,0.8922951073819253
1.5577889447236182,1.061857736683417e-06,0.22254127781765973,9.794746378930162,0.00013158873749802633,473791728.7020413,1850472.3618090455,3238.240965089155,0.8891491287278358
1.6080402010050252,1.0961112120603013e-06,0.22972002871500355,9.78862677462155,0.0001336188690029416,481101317.14779043,1906100.5025125628,3215.446986131161,0.8860142418993207
1.6582914572864322,1.130364687437186e-06,0.23689877961234748,9.782534433879032,0.0001356186140281859,488301497.5772745,1961728.6432160805,3192.8134539967164,0.882890407789759
1.7085427135678393,1.1646181628140703e-06,0.2440775305096913,9.776469041149422,0.0001375892975061173,495397040.47468746,2017356.783919598,3170.339239300591,0.8797775874304089
1.7587939698492463,1.1988716381909546e-06,0.25125628140703515,9.770430286326421,0.00013953215079517565,502392379.4067235,2072984.924623116,3148.0232206072965,0.8766757419899208
1.8090452261306533,1.233125113567839e-06,0.25843503230437903,9.764417864625983,0.0001414483206787144,509291643.42331326,2128613.065326633,3125.86428437513,0.8735848327738537
1.8592964824120604,1.2673785889447238e-06,0.2656137832017229,9.758431476465203,0.0001433388772808313,516098685.55896306,2184241.206030151,3103.8613249006085,0.870504821224192
1.9095477386934674,1.3016320643216078e-06,0.27279253409906673,9.752470827344668,0.00014520482105436446,522817107.99337804,2239869.3467336684,3082.0132442632957,0.8674356689188649
1.9597989949748744,1.3358855396984925e-06,0.27997128499641066,9.74653562773405,0.00014704708897061105,529450284.33784956,2295497.4874371863,3060.3189522710186,0.8643773375712668
2.0100502512562817,1.3701390150753768e-06,0.2871500358937545,9.740625592960988,0.0001488665600194738,536001379.4388032,2351125.6281407042,3038.777366405466,0.8613297890297795
2.0603015075376887,1.4043924904522613e-06,0.29432878679109836,9.734740443102972,0.00015066406011166825,542473367.0284376,2406753.7688442217,3017.387411768175,0.8582929852772971
2.1105527638190957,1.4386459658291458e-06,0.30150753768844224,9.728879902882275,0.00015244036646057095,548869045.5017846,2462381.9095477387,2996.1480210268915,0.8552668884307508
2.1608040201005028,1.47289944120603e-06,0.30868628858578606,9.723043701563759,0.00015419621150966698,555191052.0576769,2518010.0502512567,2975.0581343623135,0.8522514607406367
2.21105527638191,1.5071529165829148e-06,0.31586503948313,9.717231572855454,0.00015593228646189585,561441875.406333,2573638.1909547746,2954.1166994152086,0.8492466645905453
2.261306532663317,1.5414063919597993e-06,0.32304379038047387,9.711443254811892,0.00015764924445913321,567623867.2172362,2629266.331658292,2933.3226712339006,0.8462524624966914
2.311557788944724,1.5756598673366833e-06,0.33022254127781764,9.705678489739993,0.00015934770345328583,573739252.4566543,2684894.4723618096,2912.6750122221283,0.843268817107447
2.361809045226131,1.6099133427135678e-06,0.3374012921751615,9.699937024107543,0.00016102824880478926,579790138.7436583,2740522.613065327,2892.172692087271,0.8402956912028758
2.412060301507538,1.6441668180904523e-06,0.3445800430725054,9.694218608454074,0.00016269143563948875,585778524.8361882,2796150.753768845,2871.814687788938,0.837333047694268
2.462311557788945,1.6784202934673368e-06,0.35175879396984927,9.688522997304153,0.00016433779099080863,591706308.344039,2851778.8944723625,2851.5999834879203,0.8343808496236779
